,username,Gender,Education,Ethnicity,about_me_text
0,ShortyFire1984,F,Bachelors Degree,Caucasian,..............................
1,ROXYCHIC549,F,Bachelors Degree,Caucasian,"'"" I am not an upgraded member. So if you want to meet me you must send me a message."" That's the bottom line......READ ON..... Lets laugh, play, and make memories. However I don't date by texting and emaling. I have had a TX, real estate broker's license for the last 35 years, and have bought sold and flipped a few houses in addition to selling for years. I am classy, yet casual. I love people. I have a very youthful attitude, and enjoy skiing, fishing, theatre, ATV riding, boating, and traveling. I love music, dancing, and the sound of ocean waves. I like fireplaces, lightening storms, waterfalls and fireworks. I have done a lot of fundraising and charity work, and feel the need to pay it forward. I'm a good cook and like to entertain. I have a great sense of humor, and love to laugh and play. I don't want to be around negative people. I refuse to grow old, and don't enjoy people who take life too seriously. I enjoy nice things, but I am not high maintenance. I'm not judgemental, jealous or possessive. Everyone needs some space. I want an educated, successful man in his own right, who can take my hand and lead me. Someone who is equally yoked with me, physically, educationally, emotionally, and financially stable. I want a Christian man, who will be my hero. All my pics are current, but I am older than listed. Please have yours current also, and leave out the 5 people around you. I won't know who you are in the line up. I live on the Central Coast of CA, but I spent half my life in TX, with all the Southern values. I'm genuine down to earth, and grounded. I am not married to CA. I believe happiness is where the heart is. I'm open to living anywhere wirh theright person."
2,tequilagirl69,F,Associates Degree,Caucasian,Laid back lovable fun leo looking for someone to belly laugh with. Looking for locals ONLY. Don't have time to train guys way younger. Sorry boys! Looking for something meaningful! 
3,atxredneckgirl,F,Some college,Caucasian,"Tx country music junkie.No sickos w nasty pics...I will report you...My race only please.No extreme facial hair.Clean cut and groomed.And no shorties.....No pics then you hiding something....Dont post pictures of what you used to look like.And I'm 49.If that's a prob , then buzz off."
4,mel12th,F,Bachelors Degree,Hispanic,I am here to look for people to converse with...nothing really serious just yet...conversations..not looking for sex..not looking for dirty pics.no pervs...just want to meet new ppl to hang out with...i like to go with the flow and like to do all sorts of things such as going to movies...find things to do in the city..stay home a listen to music and chill...etc.
5,Andi010274,F,Some college,Caucasian,Can't get into my account so I had to start over.
6,nodutch,F,Associates Degree,Black,Music business goals meditation affirmation a great quality of life
7,lauranmr,F,Some college,Caucasian,"Of all the dating profiles in all the world and you click onto mine... Play it again Sam, you know what I like... I love music~variety. Music tells stories, entertains, brings people together, so I enjoy it in almost all of its forms. I love the arts for the same reasons. The beautiful harmonies of nature fill me with awe. I believe we should be our authentic selves. Honest, quirky, easy going confident woman.Note-Thank you for taking a moment to read my profile. Please check my location. I am not looking for an online or long distance relationship or friendship. If you are not prepared to meet and get acquainted, please do not waste you time contacting me. I appreciate the interest, but that is just not what I’m looking for."
8,smbd75,F,Bachelors Degree,Other Ethnicity,"Likes: fun, adventure, exciting.Dislikes: boring, rude, narrow mindedness"
9,candipie1989,F,Associates Degree,Black,"Single black female, brown eyes and black hair, I am attractive ssbbw. I like live music and poetry and writing short stories. I am a mature woman who is seeking a genuinely nice and honest person to get to know and hang out with. I'm not interested in hookups but friendly companionship. Looking for someone who can except me for the sweetheart I am. Seeking someone to make me laugh."
