,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,AboutMe,Interests,AboutAndrea,AboutCandie,AboutTiffany,AboutTrini,AboutSophia,Aboutjo,AboutAshley Nicole,Aboutlarrissa,AboutRLR,Aboutaims,AboutStacy,AboutJ,AboutTara,AboutSusan,AboutMesha,AboutLooking995,AboutJami,AboutMisty,AboutRoxanna,AboutClaire,AboutAda09,AboutAmy,AboutMariana,AboutCORRAL,AboutPriscilla,AboutLaura,AboutCherry,Aboutbeka78,AboutAnna,AboutAli,Aboutkat,AboutDragonfly236,AboutSyl,AboutTricey,AboutPauline,AboutAydnil,AboutJennifer,AboutLINDA,AboutVee,AboutD,AboutGloria,AboutAshley,Aboutjenny,AboutRosario,AboutPatricia,AboutMichele,Aboutjoy,AboutVictoria,AboutKaren,Aboutcyndi,AboutMari,AboutKara,AboutIngrid,AboutPamela,AboutWanda,AboutPrettyFeetChef,AboutMyBaby49,AboutSharon,AboutRosalba,AboutEmma,AboutMary Rodriguez,AboutShestie,AboutJenny RM,AboutChristina,AboutApril,AboutSonia,AboutLinda,AboutJessica,AboutNilla,AboutAsk me,AboutTenci,AboutBonnie,AboutAngela,AboutElizabeth,AboutLina,AboutKatrina,AboutSaTexas65,AboutDena,AboutKatherine,AboutT,AboutThelM,AboutLatonya,AboutBeautiful,AboutLil,AboutRuth Guerrero,Aboutlisa,AboutMaintain,AboutPRINCE$$'''''''''''''''''''''''''''''''''''''''''',AboutBelle,AboutChristie,AboutKristen,AboutCynthia,AboutAjaye,AboutJetta,About Me,AboutMartha Taylor,AboutCarolyn,AboutAlejandra,AboutAnita,Aboutsusie,AboutI’m not ur side ✌️ ...I want to be ur ✌️,AboutMyrna,AboutDahlia,AboutJenni,AboutKristy,AboutGayle,AboutNancy,AboutMarie,Aboutneida,AboutStephanie,AboutR,AboutMelissa,AboutKiona,AboutCarmen,Aboutlinda,AboutJanette,AboutLynette,AboutCindie,AboutJoy,AboutJae,AboutMonie,AboutSue,AboutTerry,AboutNiqq,AboutLori,Aboutveronica,AboutKenda,Age,Gender,Zodiac Sign
match_0,ShortyFire1984,"looking for honest men, no games!",None,..............................,Non-Smoker with Average body type," Austin, Texas ","34 year old Female, 5' 0"" (152cm), Christian - other",Caucasian,ShortyFire1984 is looking for a relationship.,Bachelors Degree,Animal Lover,Manager,Man,Dating,Not Completed,View her chemistry results,Socially,Want children,Single,No,Brown,Brown,Yes,No,Over 6 years,Very Ambitious,Cat & Dog,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,F,Sagittarius
match_1,ROXYCHIC549,Laugh Often. Live Longer... I'm Not An Upgraded Member,None,"'"" I am not an upgraded member. So if you want to meet me you must send me a message."" That's the bottom line......READ ON..... Lets laugh, play, and make memories. However I don't date by texting and emaling. I have had a TX, real estate broker's license for the last 35 years, and have bought sold and flipped a few houses in addition to selling for years. I am classy, yet casual. I love people. I have a very youthful attitude, and enjoy skiing, fishing, theatre, ATV riding, boating, and traveling. I love music, dancing, and the sound of ocean waves. I like fireplaces, lightening storms, waterfalls and fireworks. I have done a lot of fundraising and charity work, and feel the need to pay it forward. I'm a good cook and like to entertain. I have a great sense of humor, and love to laugh and play. I don't want to be around negative people. I refuse to grow old, and don't enjoy people who take life too seriously. I enjoy nice things, but I am not high maintenance. I'm not judgemental, jealous or possessive. Everyone needs some space. I want an educated, successful man in his own right, who can take my hand and lead me. Someone who is equally yoked with me, physically, educationally, emotionally, and financially stable. I want a Christian man, who will be my hero. All my pics are current, but I am older than listed. Please have yours current also, and leave out the 5 people around you. I won't know who you are in the line up. I live on the Central Coast of CA, but I spent half my life in TX, with all the Southern values. I'm genuine down to earth, and grounded. I am not married to CA. I believe happiness is where the heart is. I'm open to living anywhere wirh theright person.",Non-Smoker with Average body type," Austin, Texas ","62 year old Female, 5' 3"" (160cm), Christian - other",Caucasian,ROXYCHIC549 is looking for a relationship.,Bachelors Degree,Free Thinker, Retired Realtor,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Blond(e),Blue,Yes,All my kids are over 18,Over 10 years,Ambitious,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,F,Sagittarius
match_10,tequilagirl69,Let's live life and....,None,Laid back lovable fun leo looking for someone to belly laugh with. Looking for locals ONLY. Don't have time to train guys way younger. Sorry boys! Looking for something meaningful! ,Non-Smoker with A Few Extra Pounds body type," Round rock, Texas ","50 year old Female, 5' 2"" (157cm), Christian - other",Caucasian,tequilagirl69 is actively seeking a relationship.,Associates Degree,Hopeless Romantic,Order Management/accounting,Man,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Brown,Grey,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,F,Leo
match_100,atxredneckgirl,Foxy...read profile 1st,"['LAKE', 'Music', 'Dance']","Tx country music junkie.No sickos w nasty pics...I will report you...My race only please.No extreme facial hair.Clean cut and groomed.And no shorties.....No pics then you hiding something....Dont post pictures of what you used to look like.And I'm 49.If that's a prob , then buzz off.",Non-Smoker with Prefer Not To Say body type," Austin, Texas ","39 year old Female, 5' 4"" (163cm), Non-religious",Caucasian,atxredneckgirl is looking for a relationship.,Some college,Free Thinker,Sales,Man,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Blond(e),Brown,Prefer Not To Say,Yes,Over 7 years,Very Ambitious,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,F,Capricorn
match_101,mel12th,Who wants to chat,None,I am here to look for people to converse with...nothing really serious just yet...conversations..not looking for sex..not looking for dirty pics.no pervs...just want to meet new ppl to hang out with...i like to go with the flow and like to do all sorts of things such as going to movies...find things to do in the city..stay home a listen to music and chill...etc.,Non-Smoker with Big & Tall/BBW body type," San antonio, Texas ","34 year old Female, 5' 6"" (168cm), Non-religious",Hispanic,mel12th wants to date but nothing serious.,Bachelors Degree,Homebody,Ask later,Man,Friends,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Brown,Brown,Yes,No,Over 4 years,Somewhat Ambitious,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,F,Virgo
match_102,Andi010274,I'm so over this...,None,Can't get into my account so I had to start over.,Non-Smoker with A Few Extra Pounds body type," Bastrop, Texas ","45 year old Female, 5' 2"" (157cm), Catholic",Caucasian,Andi010274 is looking for a relationship.,Some college,Bookworm,Customer Service,Man,Long Term,Not Completed,Not Completed,No,Does not want children,Separated,No,Red,Brown,Prefer Not To Say,Yes,Over 8 years,Very Ambitious,,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,F,Capricorn
match_103,nodutch,.........shhhhh.ok ok I'm on here ...,None,Music business goals meditation affirmation a great quality of life,Non-Smoker with Athletic body type," Austin, Texas ","45 year old Female, 5' 7"" (170cm), Christian - other",Black,nodutch is looking for a relationship.,Associates Degree,Straight Edge,Self-employed,Man,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,F,Taurus
match_104,lauranmr,Did I catch your eye? Don’t be shy ;),"['Music', 'Arts', 'Animals']","Of all the dating profiles in all the world and you click onto mine... Play it again Sam, you know what I like... I love music~variety. Music tells stories, entertains, brings people together, so I enjoy it in almost all of its forms. I love the arts for the same reasons. The beautiful harmonies of nature fill me with awe. I believe we should be our authentic selves. Honest, quirky, easy going confident woman.Note-Thank you for taking a moment to read my profile. Please check my location. I am not looking for an online or long distance relationship or friendship. If you are not prepared to meet and get acquainted, please do not waste you time contacting me. I appreciate the interest, but that is just not what I’m looking for.",Non-Smoker with Big & Tall/BBW body type," Dale, Texas ","50 year old Female, 5' 6"" (168cm), Non-religious",Caucasian,lauranmr is looking for a relationship.,Some college,Sapiophile,EA,Man,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Brown,Blue,Prefer Not To Say,Yes,Over 10 years,Ambitious,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,F,Taurus
match_105,smbd75,"FWB need not apply, ty next...",None,"Likes: fun, adventure, exciting.Dislikes: boring, rude, narrow mindedness",Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","45 year old Female, 5' 6"" (168cm), Other",Other Ethnicity,smbd75 wants to date but nothing serious.,Bachelors Degree,Coffee Snob,Smbd,Man,Friends,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Brown,Brown,Yes,No,Over 5 years,Somewhat Ambitious,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,F,Aquarius
match_106,candipie1989,Treat me like you want to be treated,None,"Single black female, brown eyes and black hair, I am attractive ssbbw. I like live music and poetry and writing short stories. I am a mature woman who is seeking a genuinely nice and honest person to get to know and hang out with. I'm not interested in hookups but friendly companionship. Looking for someone who can except me for the sweetheart I am. Seeking someone to make me laugh.",Non-Smoker with Big & Tall/BBW body type," Austin, Texas ","48 year old Female, 5' 4"" (163cm), Baptist",Black,candipie1989 is actively seeking a relationship.,Associates Degree,Hopeless Romantic,Administrative,Man,Dating,Not Completed,View her chemistry results,Socially,Does not want children,Single,No,Black,Brown,Prefer Not To Say,All my kids are over 18,Over 10 years,Very Ambitious,,,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,F,Virgo
