,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,I am Seeking a,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,Age,Gender,Zodiac Sign
match_0,2233Titans,No,None,"I love sports basketball, football, volleyball & Love music hanging out going to movies doing little traveling & being their for the women I''m with. I have big family two sisters five brothers we are close.",Non-Smoker with Athletic body type," San marcos, Texas ","45 year old Male, 6' 1"" (185cm), Baptist",Black,2233Titans is actively seeking a relationship.,High school,Athletic,City Employee Operator,Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,Yes,Over 7 years,Somewhat Ambitious,No Pets,,45,M,Aquarius
match_1,Traedun1973,"if you want to laugh and have fun,","['Attentive', 'Poet', 'I am an outdoorsman']","I’m 100 all the time, so that’s what I would like in return",Non-Smoker with A Few Extra Pounds body type," Georgetown, Texas ","46 year old Male, 6' 0"" (183cm), Other",Black,Traedun1973 wants to date but nothing serious.,Some college,Hopeless Romantic,Railroad Technician,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,No,All my kids are over 18,Over 7 years,Ambitious,No Pets,,46,M,Aries
match_10,TwoDogues,Do. Or do not. There is no try.,"['Photography', 'Motorcycles', 'Pets']","Recently retired and looking to find a parter in crime for some fun, travel and adventure. Relocating to New Braunfels, TX towards the end of 2019 and would like to find a like minded partner to indoctrinate me to the area.I have one grown son (and daughter-in-law) a young grandson; and I'm a Dad to one large french mastiff and an itty bitty pitty. I am self sufficient and can take care of myself, but I do appreciate and accept the kindness and generosity from others when offered. I enjoy utilizing my skills in the kitchen and especially when I can cook for someone special, whether it be breakfast in bed or a romantic gourmet dinner. I do not drink, and am drug and disease free. I do enjoy fine cigars, which is the only real vice I have. I own my home, vehicles and am debt free and made some investments that will carry me well into my elder years.Well...the rest of me can certainly be shared in follow-up messages or phone calls. As in chess...It's your move! :)",Non-Smoker with Average body type," New braunfels, Texas ","61 year old Male, 5' 8"" (173cm), Christian - other",Caucasian,TwoDogues is looking for a relationship.,Bachelors Degree,Animal Lover,Retired,Woman,Long Term,Viewhis relationship needs,View his chemistry results,No,Does not want children,Single,No,Bald,Brown,Yes,All my kids are over 18,Over 7 years,Ambitious,Dog,,61,M,Virgo
match_100,jamesbond_007,Be real!!!,"['Cars', 'Business', '']",Just looking for something as real as I am! Loyalty and honesty is all I require because it''s definitely what I''m willing to give!!!,Non-Smoker with Athletic body type," Austin/san antonio, Texas ","36 year old Male, 5' 10"" (178cm), Christian - other",Black,jamesbond_007 is looking for a relationship.,Some college,Adventurer,Broker,Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,Yes,Over 5 years,Very Ambitious,No Pets,,36,M,Virgo
match_101,Magicsam2018,NfFL,"['Music', 'Movies', 'Sports']","Dang so many BOTs on here!Looking for mature open minded. I don’t care about your situation, be comfortable in your own skin, open minded, accessible. I’m discrete, looking for a friend possible lover? I Love Love Love the smell of Versace Bright Crystal.Truisms about dating;That hot, sane, sexy, intelligent, perfect match, that agrees with all your deep psyche beliefs... lives 5000 miles away and needs help getting his inheritance if you’ll just send him 500 bucks she’ll split the 3 million dollars with you.Busy professional looking for quality time and dating, serial daters need not apply. Be comfy in your own skin. massages, a cold beer.",Non-Smoker with A Few Extra Pounds body type," Austin/san antonio, Texas ","58 year old Male, 6' 0"" (183cm), Non-religious",Hispanic,Magicsam2018 wants to date but nothing serious.,Some college,Foodie,Construction Inspector,Woman,Dating,Not Completed,View his chemistry results,Often (>3times/week),Does not want children,Divorced,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Very Ambitious,No Pets,Spanish,58,M,Leo
match_102,niallstella,DJ,"['Boating', 'Travel', 'Sporting events']","I enjoy comedy clubs, concerts, boating, travel, working out, spontaneous road trips, sampling the fare at new restaurants, reading. Please note that I am 52.not able to change correct age in profile.",Non-Smoker with Average body type," Lakeway, Texas ","46 year old Male, 6' 2"" (188cm), Catholic",Caucasian,niallstella is looking for a relationship.,Bachelors Degree,Adventurer,Entrepreneur,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Blue,Yes,Yes,Over 10 years,Very Ambitious,Dog,,46,M,Taurus
match_103,Stepheasy713,looking for love,"['Church', 'Prayer', 'Movies']",Looking for love and someone who has the time and space for me In their life Understanding that I am a working man also and their position as far as being a potential mate,Non-Smoker with Athletic body type," San antonio, Texas ","42 year old Male, 5' 11"" (180cm), Christian - other",Black,Stepheasy713 is actively seeking a relationship.,Bachelors Degree,Hopeless Romantic,Barber/Barber Instructor,Woman,Long Term,Not Completed,Not Completed,No,Prefer Not To Say,Single,No,Black,Hazel,Yes,Yes,Over 5 years,Ambitious,Dog,,42,M,Gemini
match_104,Drew78617,Fishing,None,"Like doing outdoor activites such as fishing, camping, scuba diving, motorcycles, shooting ,cookingAlso i dont have a membership so i cannot see the meet me so message me instead",Non-Smoker with Average body type," Austin, Texas ","46 year old Male, 5' 11"" (180cm), Non-religious",Caucasian,Drew78617 is looking for a relationship.,Some college,Blue Collar,Construction,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Brown,Blue,Yes,No,Over 2 years,Somewhat Ambitious,No Pets,,46,M,Cancer
match_105,expedition50,Searching for that old Austin vibe,"['Music', 'Movies', 'Food']","Hello and thank you for visiting my profile.I am down to earth, modest, and laid back. I enjoy traveling, discovering new places, live music, playing music, beach snorkeling, exercising, and movies. I have varied music tastes, including jazz, grunge, rock, reggae, folk, etc. I try to see as much live music as I can.  I try to maintain a healthy life style free of baggage and drama. I exercise 4-5 times a week (running, swimming, biking, walking).Don't currently have one, but I love dogs. I have worked hard and had a successful career in the corporate world. I am now making it my priority to smell the roses and have a simpler less hectic life. I also decided to go back to school to pursue my passions.I am looking for a relationship with someone who is affectionate and has time to enjoy restaurants, music, and events going on in Austin as well as stay in on occasion. I especially like finding those few remaining places that retain the old Austin charm. I have a lot of love, attention, and affection to give to the right woman.My pictures are recent.",Non-Smoker with Average body type," Austin, Texas ","51 year old Male, 5' 6"" (168cm), Non-religious",Caucasian,expedition50 is looking for a relationship.,Graduate Degree,Free Thinker,Legal and Music,Woman,Long Term,Viewhis relationship needs,Not Completed,Socially,Does not want children,Single,No,Brown,Brown,Yes,No,Over 2 years,Ambitious,No Pets,,51,M,Aries
match_106,Thomasmax99,Chivalry Still Exist,"['Sports', 'Traveling', 'Scuba diving']","First of all. I'm not 59 years old as stated. I'm 65. All my pictures are current or within the past year. Of course, my Marine pic is a little older :) Love Country Music. I enjoy being outdoors, traveling and relaxing near tropical beaches with that special someone.In short... I love my family, I'm a true American, a former Marine and Absolutely Love, Believe, & Trust in God!Family and friends are very important to me. I have three wonderful children and six of the most amazing grand-kids. They're the world to me and steal my heart every time we're together.I always try to catch one or two MLB games every season. I think that would be the perfect first date. Hot dogs and beer, surrounded by cheering fans :) Well what do you think???I've been told that I look a lot younger than I am. I will let you be the judge of that. I like to stay active, workout and in the gym regularly. I'm definitely not one of those couch guys.I like to cook and for the most part eat healthy. I'm even pretty good at kitchen cleanup. Hope to find a woman with similar interest and is also into an active life style and loves to travel.I enjoy mechanical projects as well as woodworking. So, if you have any electrical, plumbing, A/C or any household issues, I could be your guy :)Ladies. I'm really not on here to be pen pals. I'm here to find that special woman who makes me think of her every time my heart beats. So, if you are one who only wants to text and not interested in talking or meeting up, please pass me by. We're just wasting each others time... Thank you. There's just one person for everybody.I am looking for a relationship that will last forever! And one that begins with a friendship built upon respect, trust and integrity.Wishing all you beautiful women the very best in your journey for that man in your dreams!!Remember ladies... Chivalry Still Does Exist.Raise Your Son To Be A GentlemanRaise Your Daughter To Except Nothing Less.",Non-Smoker with Athletic body type," Fischer, Texas ","59 year old Male, 6' 0"" (183cm), Other",Caucasian,Thomasmax99 is looking for a relationship.,Some college,Traveler,Manager/Owner,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 10 years,Very Ambitious,Dog,English,59,M,Capricorn
